GeneID,AverageFPKM
Os01g0663400,1.52009
Os01g0663500,2.75393
Os01g0664000,2.97455
Os01g0664100,3.10988
Os01g0664200,1.03517
Os01g0663800,18.7116
Os01g0664500,14.9598
Os01g0662600,283.745
Os01g0665300,3.25267
Os01g0666500,1.77258
Os01g0666800,2.07775
Os01g0667100,1.41944
Os01g0666900,17.9959
Os01g0666950,5.0737
Os01g0667200,1.74784
Os01g0667600,1.32688
Os01g0666600,55.135
Os01g0667900,2.39605
Os01g0665200,32.2953
Os01g0667700,5.18992
Os01g0668000,10.0907
Os01g0669100,1.32011
Os01g0672100,1.09249
Os01g0670800,1.05564
Os01g0672300,3.60505
Os01g0672500,2.00982
Os01g0672600,4.61128
Os01g0672800,1.37162
Os01g0672700,1.51206
Os01g0672400,9.48387
Os01g0673500,8.63317
Os01g0673600,21.7681
Os01g0674000,1.00725
Os01g0673800,16.5426
Os01g0674500,3.15777
Os01g0674100,3.1549
Os01g0674800,2.9995
Os01g0674700,4.7914
Os01g0675500,3.4913
Os01g0675100,81.3672
Os01g0676200,4.12927
Os01g0675700,13.9983
Os01g0678700,1.28669
Os01g0678900,3.10305
Os01g0679600,1.33999
Os01g0678500,6.00445
Os01g0678600,31.1842
Os01g0679700,18.4739
Os01g0680400,3.04223
Os01g0680600,1.35738
Os01g0681400,1.85747
Os01g0680700,6.789
Os01g0679900,8.416
Os01g0681700,1.19577
Os01g0681600,10.6584
Os01g0682200,2.57484
Os01g0681900,4.10985
Os01g0683100,2.56885
Os01g0683600,1.8639
Os01g0684200,2.33125
Os01g0684900,1.68562
Os01g0686400,1.9974
Os01g0682500,48.7698
Os01g0686100,2.64161
Os01g0685800,11.5437
Os01g0686800,5.1399
Os01g0687700,2.14843
Os01g0687300,3.3902
Os01g0687500,2.59646
Os01g0688600,1.64996
Os01g0689600,1.80449
Os01g0689800,2.0804
Os01g0690200,1.88152
Os01g0689451,5.909
Os01g0689900,5.43125
Os01g0691500,5.2302
Os01g0691600,6.4937
Os01g0691700,6.98362
Os01g0692300,6.90428
Os01g0692600,3.0157
Os01g0693400,1.1545
Os01g0692700,3.20018
Os01g0693800,7.80917
Os01g0693900,5.18708
Os01g0694200,2.10986
Os01g0694300,6.57223
Os01g0694900,1.54568
Os01g0695200,1.70836
Os01g0695100,4.22607
Os01g0639900,2224.34
Os01g0695300,33.6763
Os01g0695600,1.6662
Os01g0697100,1.22808
Os01g0696000,1.32223
Os01g0698000,1.50447
Os01g0695700,10.8526
Os01g0698300,1.44935
Os01g0698100,6.00877
Os01g0700000,15.473
Os01g0701900,1.12327
Os01g0702400,1.28487
Os01g0700100,30.3885
Os01g0704200,2.36469
Os01g0704300,4.29575
Os01g0703600,6.1997
Os01g0704400,4.77337
Os01g0705500,3.26728
Os01g0704700,6.60567
Os01g0705300,4.99185
